Strategy /Action,Feasibility,Impact,Effectiveness,Leads,Notes:
"1.1 Engage with crossing owners and offer capacity (e.g., in-kind support, expertise, financial resources, etc).to help identify crossing priorities and resources to address barriers (could include developing WCRPs in other watersheds, collaborative remediation works, etc.)",high,high,effective,,Highly feasible in most cases / can find grants. CWF has some funds; AB has a grant program for municipalities.
1.2 Encourage crossing owners who are not currently members of the AEP WCP to join.,high,low,Not effective,Not acting on this summer.,"Highly feasible, but low impact. Most owners have joined except for a few companies with < 3 crossings."
"1.3 Engage crossing owners /managers to encourage the replacement of round bottom with open bottom structures (build a business case for looking at cost over the long term, engineering, monitoring, etc.)",medium,medium,Needs more info,"FSCP, AWC3","Can engage in discussion, but not sure this will lead to action. Build case studies?"
1.4 Undertake an assessment of what crossing inspections / pre- and post-remediation monitoring occurs in the watershed to identify gaps. Is there a gold standard?,high,Very high,effective,AWC – state of report,"Identification of gaps could help us improve prioritization. Monitoring post-remediation is usually a requirement, especially if there is a high level of uncertainty FSCP are checking crossings every 5 years."
1.5 Conduct an effectiveness monitoring study to assess whether barrier remediation is improving resident fish populations (noting that research on species at risk has its challenges).,medium,medium,Needs more info,ACA-Paul and Nick to chat offline,"Helps justify watercourse remediation work. Might make the case for open bottom structures. Need research partners, resources, financial capacity/ NSERC funding, student. Look at using the Fish Sustainability Index as a measure of health."
1.6 Streamline the regulatory process to fast-track remediation work (but be careful about unintended consequences).,medium,high,Needs more info,Not this summer.,Changing policy/legislation is a long process / takes time. Work is occurring / Red Tape Reduction Initiative
1.7 Engage with the watercourse crossing program to discuss opportunities to improve the enforceability of the current provincial directive.,medium,high,Needs more info,"AWC, AEP",Currently voluntary; Difficult to change quickly. Look into including a statutory requirement under the Berland Sub-Regional Plan. Making membership mandatory may still not address enforcement issues.
1.8 Develop communication materials on existing remediation programs and regulations.,high,Very high,,"AWC, AWC3","To address public assurance, communicate the roles and responsibilities of both federal and provincial regulators to show there are no gaps between regulatory frameworks. CWF hired a person to do a case study analysis using Alberta."
1.9 Engage with CN to share WCRP and request that they address the priority barriers that they own.,Very high,Very high,,,"Once we have the priorities list, can engage CN on specific sites for remediation. CWF has used cost-sharing /paying for engineering plans as a trust builder in BC."
1.10 Accelerate the rate of replacement and repair of priority crossings that act as barriers (crossings not likely to be removed (unless road is being decommissioned; focus is on repair or replacement).,,,omit,,All other actions will lead to this; removed as an action
1.11 Explore mitigation tools like baffling and back watering structures,medium,medium,Needs more info,Maybe later,"Not ideal, might just be a band-aid, only use when other remediation actions aren’t feasible"
1.12 Create a public facing guide with crossing BMPs and regulations to circulate to crossing owners and managers. Want to promote open bottom structures as more economical long term.,Very high,high,effective,,AWC3 is working on industry guidance. May be in need of resources to complete a guide. Include examples of where open bottom structures have been successfully applied elsewhere.
1.13 Compile and share watershed connectivity and crossing data where possible.,Very high,high,effective,,
"1.14 Continue working to develop, share and update a priority list of barriers for the watershed. (share with stakeholder and rights holders in the watershed)",Very high,Very high,Very effective,"CWF, AEP currently working on it and will share soon.","Raise awareness of where work is needed; where we can make progress on our goals. Priority will be barriers with the largest upstream habitat above the barrier for sites that are fish habitat. If not assessed, they become priorities for inspection."
1.15 Periodically review and update this WCRP to ensure we are managing adaptively,Very high,Very high,Very effective,AWC annual report and annual workshop to update plan,Linked to 1.14 – need to review where we’ve been and where we’re going.
